Cust ID,MOB,MaxBalanceAmt,CntPurchActMth,TotFinCharge,PctOnlineTrans,PctPromoSale,PayToBalRatio,PctOfflinePymt,CntActiveCards
C#35910567094059,157,315.74,3,11.53,0.447344,0.262628,0.262628,0.015042,2
C#50999939198509,78,227.13,4,11.31,0.617641,0.173742,0.173742,0.010039,2
C#23302753627477,128,137.34,1,1.21,0.217369,0.015458,0.015458,0.007376,2
C#13838886564785,153,161.12,4,12.8,0.573938,0.180535,0.180535,0.015254,2
C#29829517563313,184,328.91,3,24.48,0.112832,0.227581,0.227581,0.391147,5
C#80708735143281,145,533.36,4,28.76,0.549327,0.233145,0.233145,0.019873,10
C#61330650083976,161,91.3,2,1.37,0.539538,0.142278,0.142278,0.011183,2
C#21693133272876,120,240.51,2,12.95,0.383885,0.254503,0.254503,0.008094,2
C#71961428233496,108,174.34,3,15.59,0.684736,0.209133,0.209133,0.009326,1
C#53408451595832,163,262.03,1,10.42,0.70149,0.1201,0.1201,0.014788,2
C#51899871338629,180,1428.83,6,284.4,0.484431,0.156942,0.156942,0.099916,6
C#52685065362116,229,180.86,3,13.08,0.10972,0.198145,0.198145,0.322542,3
C#97682974614327,201,95.61,4,23.86,0.172537,0.256655,0.256655,0.349163,4
C#37695108623748,167,141.72,1,0.93,0.504732,0.134679,0.134679,0.007062,1
C#86930090958092,112,250.8,5,20.4,0.096312,0.301824,0.301824,0.520269,3
C#60987811418752,134,315.41,15,10.3,0.347206,0.570711,0.570711,0.041772,3
C#27245926266087,138,469.39,3,4.99,0.494363,0.057867,0.057867,0.027665,7
C#86699669478108,103,300.07,4,71.41,0.432194,0.277828,0.277828,0.018855,12
C#69841589783532,145,119.4,2,0.9,0.642501,0.103276,0.103276,0.00982,3
C#50414900777867,111,324.29,4,17.1,0.49659,0.252757,0.252757,0.013827,2
C#5586232543672,45,260.44,8,14.04,0.334165,0.531902,0.531902,0.064302,4
C#80021686844904,133,155.81,3,23.39,0.554471,0.122358,0.122358,0.013619,2
C#98442049373005,210,317.91,5,12.28,0.262903,0.451655,0.451655,0.090368,3
C#43901001567341,131,129.46,2,1.47,0.325711,0.140637,0.140637,0.01055,2
C#93290220303538,108,80.38,2,1.36,0.344284,0.11258,0.11258,0.012022,2
C#69553381028008,94,572.7,6,38.37,0.556124,0.165142,0.165142,0.015827,9
C#97328960629125,131,163.02,1,1.07,0.17491,0.140252,0.140252,0.015331,1
C#74886208867079,107,195.83,4,15.38,0.631702,0.125038,0.125038,0.015006,2
C#29214308322243,140,138.81,2,14.59,0.558901,0.145465,0.145465,0.018115,2
C#15897854893301,175,335.97,2,14.83,0.626273,0.178526,0.178526,0.009034,3
C#1957867588927,141,1630.72,8,239.56,0.163888,0.06339,0.06339,0.090204,4
C#41747609724080,121,247.72,4,54.07,0.471954,0.196673,0.196673,0.020879,9
C#79881485731039,107,79.51,2,14.87,0.539214,0.150657,0.150657,0.009707,2
C#5569143454923,242,441.89,8,172.62,0.322326,0.117383,0.117383,0.029032,4
C#42618333840769,124,359.99,3,14.11,0.118362,0.252027,0.252027,0.245076,2
C#68971773922140,137,93.61,2,1.31,0.753235,0.084383,0.084383,0.009719,2
C#21881987028935,171,109.78,2,1.27,0.295534,0.10234,0.10234,0.0081,2
C#63127449671639,133,245.6,3,12.14,0.280769,0.264818,0.264818,0.016121,1
C#3895477647694,149,326,3,25.23,0.124734,0.305009,0.305009,0.204409,4
C#77867246429999,171,1475.45,6,387.03,0.575195,0.131499,0.131499,0.117815,5
C#24652676478330,101,465.06,9,117.52,0.302583,0.122078,0.122078,0.111575,6
C#1811579514881,141,230.3,11,16.59,0.573106,0.879058,0.879058,0.073934,3
C#51997570050000,124,205.72,2,17.25,0.694651,0.166402,0.166402,0.012209,1
C#32547425582411,143,166.95,10,10.72,0.342567,0.739557,0.739557,0.079695,3
C#8158719294453,126,353.01,3,19.69,0.412928,0.247715,0.247715,0.018712,2
C#10357437131230,96,194.03,2,1.19,0.344585,0.082363,0.082363,0.004735,2
C#98866741799041,87,221.12,4,5.42,0.293704,0.190385,0.190385,0.013003,2
C#53944097940081,104,207.55,2,18.82,0.494896,0.195973,0.195973,0.016349,3
C#34973279661800,226,130.46,1,1.18,0.51065,0.094848,0.094848,0.009546,1
C#66809715114009,112,2058.35,11,164.28,0.495763,0.202348,0.202348,0.087837,7
C#27770314395651,112,128.67,1,1.39,0.258472,0.135517,0.135517,0.011263,3
C#19950807653943,135,136.18,1,1.29,0.264845,0.119084,0.119084,0.009966,3
C#13815823880280,147,96.11,1,0.73,0.212484,0.092159,0.092159,0.011725,2
C#915792053062,122,179.76,2,10.61,0.638059,0.19006,0.19006,0.01881,2
C#73147885910232,138,378.89,2,19.36,0.132635,0.142579,0.142579,0.325465,2
C#74154131842080,87,228.36,3,19.92,0.62393,0.172481,0.172481,0.014279,2
C#66067181725889,119,117.28,2,12.63,0.421626,0.296458,0.296458,0.011196,1
C#77694534979230,104,1463.22,7,262.52,0.404897,0.168788,0.168788,0.117125,7
C#32513282121213,219,1462.96,8,305.56,0.303435,0.166027,0.166027,0.104615,3
C#54676314446817,152,145.89,3,13.89,0.549805,0.144775,0.144775,0.011838,2
C#64988548378869,174,1263.47,7,308.67,0.401443,0.167723,0.167723,0.093346,3
C#84879595727374,90,127.96,3,11.48,0.546884,0.289829,0.289829,0.020185,4
C#52108579554406,95,308.34,4,14.31,0.272022,0.210674,0.210674,0.006527,3
C#17556007781425,231,336.53,7,11.87,0.149829,0.506781,0.506781,0.038311,3
C#90443612005957,192,203.29,2,19.26,0.129347,0.182995,0.182995,0.282971,3
C#20024384137481,41,255.75,1,9.38,0.36593,0.263935,0.263935,0.020393,3
C#15606668862751,244,329.71,6,15.06,0.131002,0.192111,0.192111,0.169519,3
C#14305514153596,162,1677.99,9,232.39,0.646321,0.090845,0.090845,0.053667,7
C#58980895879081,131,478.75,5,57.96,0.539283,0.161105,0.161105,0.015629,7
C#45368428705951,68,340.56,6,26.2,0.213935,0.20586,0.20586,0.015992,8
C#752315731213,115,117.26,2,1.7,0.609549,0.139126,0.139126,0.007636,2
C#37275051119056,135,400.3,5,44.19,0.34727,0.223059,0.223059,0.021341,7
C#48166233240247,196,207.59,3,14.05,0.139523,0.260147,0.260147,0.241152,4
C#36105981149649,57,109,1,1.08,0.417724,0.083072,0.083072,0.004343,3
C#27231591274330,210,1343.06,7,310.09,0.319352,0.142677,0.142677,0.103967,6
C#83134814966390,182,276.25,5,26.79,0.132348,0.410829,0.410829,0.435898,2
C#77449278718157,111,243.65,3,14.45,0.693621,0.149905,0.149905,0.011273,2
C#12538209799521,199,937.08,10,359.57,0.273256,0.143303,0.143303,0.081292,3
C#94211244787907,125,246.5,3,6.58,0.400565,0.106319,0.106319,0.020456,2
C#62559463373265,133,298.46,2,17.05,0.580893,0.195637,0.195637,0.01428,2
C#31532380872406,199,149.95,4,9.69,0.360538,0.274539,0.274539,0.010937,2
C#13525756508858,177,286.16,3,22.69,0.085322,0.27132,0.27132,0.42715,3
C#52730915051742,128,120.59,2,1.12,0.60215,0.11396,0.11396,0.007595,2
C#1622503948190,227,294.05,3,18.8,0.097412,0.269593,0.269593,0.189496,2
C#13563039501987,126,292.35,3,11.46,0.445562,0.164016,0.164016,0.009877,2
C#62491986463007,242,202.93,7,14.1,0.37262,0.845685,0.845685,0.085008,3
C#68049670286228,106,282.35,10,8.27,0.294888,0.773621,0.773621,0.075152,3
C#27857334927797,155,190.88,2,18.34,0.512557,0.225566,0.225566,0.018353,4
C#77226192262493,132,309.14,4,7.13,0.532788,0.206587,0.206587,0.017294,3
C#8274042315235,163,449.93,3,58.48,0.385823,0.230643,0.230643,0.009011,8
C#1164261147188,166,93.5,2,1.11,0.359401,0.089076,0.089076,0.009885,2
C#40226348507662,119,182.71,2,69.32,0.473317,0.189026,0.189026,0.012623,5
C#3090050651279,159,122.69,2,1.04,0.538472,0.167012,0.167012,0.008242,2
C#16386166025117,133,173.58,1,14.19,0.562578,0.162218,0.162218,0.01374,2
C#68960767931214,218,178.75,3,14.39,0.166652,0.176119,0.176119,0.327641,2
C#32941225735305,178,328.44,4,13.65,0.055192,0.16605,0.16605,0.20758,3
C#60981245514076,116,176.21,3,12.14,0.404899,0.112576,0.112576,0.015455,2
C#23863063848235,71,85.24,1,1.16,0.3068,0.132447,0.132447,0.008428,2
C#28791038331332,167,121.68,2,15.08,0.049626,0.237173,0.237173,0.232143,4
C#45813098529224,97,294.56,3,19.04,0.486349,0.114741,0.114741,0.015052,1
C#25757228302627,132,174.33,3,14.52,0.473979,0.155211,0.155211,0.008712,3
C#22165031914592,166,275.13,6,34.88,0.397385,0.151501,0.151501,0.039718,7
C#38159427750251,101,222.12,2,11.01,0.4516,0.113273,0.113273,0.01922,2
